ID,Source,Target,Path
870,C0042487,C0494584,C0042487 -> C0042373 -> C0034065 -> C0494584 -> C0524702 -> C0034065 -> C0042373 -> C0042487
871,C0003467,C0027769,C0003467 -> C0027769 -> C0700613 -> C0003467
872,C0003467,C0700613,C0003467 -> C0027769 -> C0700613 -> C0003467
873,C0024299,C0019829,C0024299 -> C0019829 -> C0024299
874,C0024299,C0302329,C0024299 -> C0302329 -> C0019829 -> C0024299
875,C0024299,C0024305,C0024299 -> C0024305 -> C0024299
876,C0024299,C0024302,C0024299 -> C0302329 -> C0024302 -> C0024299
877,C0024299,C0079744,C0024299 -> C0302329 -> C0079744 -> C0019829 -> C0024299
878,C0024299,C0334621,C0024299 -> C0334621 -> C3714542 -> C0024299
879,C0024299,C0079731,C0024299 -> C0302329 -> C0024302 -> C0079731 -> C0019829 -> C0024299
880,C0024299,C3714542,C0024299 -> C0334621 -> C3714542 -> C0024299
881,C0409651,C0003873,C0409651 -> C0003873 -> C0409651
882,C0028630,C0028606,C0028630 -> C0028606 -> C0032550 -> C0028630
883,C0028630,C0597549,C0028630 -> C0028606 -> C0597549 -> C0028606 -> C0032550 -> C0028630
884,C0028630,C0032550,C0028630 -> C0028606 -> C0032550 -> C0028630
885,C0004134,C0575081,C0004134 -> C0575081 -> C0004134
